"Prediction","Reference","Freq"
"0.565","0.315",0
"0.57","0.315",0
"0.575","0.315",0
"0.58","0.315",0
"0.585","0.315",0
"0.59","0.315",0
"0.595","0.315",0
"0.6","0.315",0
"0.605","0.315",0
"0.61","0.315",0
"0.615","0.315",0
"0.62","0.315",0
"0.625","0.315",0
"0.63","0.315",0
"0.635","0.315",0
"0.64","0.315",0
"0.645","0.315",0
"0.65","0.315",0
"0.655","0.315",0
"0.66","0.315",0
"0.665","0.315",0
"0.67","0.315",0
"0.675","0.315",0
"0.68","0.315",0
"0.685","0.315",0
"0.69","0.315",0
"0.695","0.315",0
"0.7","0.315",0
"0.705","0.315",0
"0.71","0.315",0
"0.715","0.315",0
"0.725","0.315",0
"0.285","0.32",0
"0.315","0.32",0
"0.32","0.32",0
"0.325","0.32",0
"0.33","0.32",0
"0.335","0.32",0
"0.34","0.32",0
"0.345","0.32",0
"0.35","0.32",0
"0.355","0.32",0
"0.36","0.32",0
"0.365","0.32",0
"0.37","0.32",0
"0.375","0.32",0
"0.38","0.32",0
"0.385","0.32",0
"0.39","0.32",0
"0.395","0.32",0
"0.4","0.32",0
"0.405","0.32",0
"0.41","0.32",0
"0.415","0.32",0
"0.42","0.32",0
"0.425","0.32",0
"0.43","0.32",0
"0.435","0.32",0
"0.44","0.32",0
"0.445","0.32",0
"0.45","0.32",0
"0.455","0.32",0
"0.46","0.32",0
"0.465","0.32",0
"0.47","0.32",0
"0.475","0.32",0
"0.48","0.32",0
"0.485","0.32",0
"0.49","0.32",0
"0.495","0.32",0
"0.5","0.32",0
"0.505","0.32",0
"0.51","0.32",0
"0.515","0.32",0
"0.52","0.32",0
"0.525","0.32",0
"0.53","0.32",0
"0.535","0.32",0
"0.54","0.32",0
"0.545","0.32",0
"0.55","0.32",0
"0.555","0.32",0
"0.56","0.32",0
"0.565","0.32",0
"0.57","0.32",0
"0.575","0.32",0
"0.58","0.32",0
"0.585","0.32",0
"0.59","0.32",0
"0.595","0.32",0
"0.6","0.32",0
"0.605","0.32",0
"0.61","0.32",0
"0.615","0.32",0
"0.62","0.32",0
"0.625","0.32",0
"0.63","0.32",0
"0.635","0.32",0
"0.64","0.32",0
"0.645","0.32",0
"0.65","0.32",0
"0.655","0.32",0
"0.66","0.32",0
"0.665","0.32",0
"0.67","0.32",0
"0.675","0.32",0
"0.68","0.32",0
"0.685","0.32",0
"0.69","0.32",0
"0.695","0.32",0
"0.7","0.32",0
"0.705","0.32",0
"0.71","0.32",0
"0.715","0.32",0
"0.725","0.32",0
"0.285","0.325",0
"0.315","0.325",0
"0.32","0.325",0
"0.325","0.325",0
"0.33","0.325",0
"0.335","0.325",0
"0.34","0.325",0
"0.345","0.325",0
"0.35","0.325",0
"0.355","0.325",0
"0.36","0.325",0
"0.365","0.325",0
"0.37","0.325",0
"0.375","0.325",0
"0.38","0.325",0
"0.385","0.325",0
"0.39","0.325",0
"0.395","0.325",0
"0.4","0.325",0
"0.405","0.325",0
"0.41","0.325",0
"0.415","0.325",0
"0.42","0.325",0
"0.425","0.325",0
"0.43","0.325",0
"0.435","0.325",0
"0.44","0.325",0
"0.445","0.325",0
"0.45","0.325",0
"0.455","0.325",0
"0.46","0.325",0
"0.465","0.325",0
"0.47","0.325",0
"0.475","0.325",0
"0.48","0.325",0
"0.485","0.325",0
"0.49","0.325",0
"0.495","0.325",0
"0.5","0.325",0
"0.505","0.325",0
"0.51","0.325",0
"0.515","0.325",0
"0.52","0.325",0
"0.525","0.325",0
"0.53","0.325",0
"0.535","0.325",0
"0.54","0.325",0
"0.545","0.325",0
"0.55","0.325",0
"0.555","0.325",0
"0.56","0.325",0
"0.565","0.325",0
"0.57","0.325",0
"0.575","0.325",0
"0.58","0.325",0
"0.585","0.325",0
"0.59","0.325",0
"0.595","0.325",0
"0.6","0.325",0
"0.605","0.325",0
"0.61","0.325",0
"0.615","0.325",0
"0.62","0.325",0
"0.625","0.325",0
"0.63","0.325",0
"0.635","0.325",0
"0.64","0.325",0
"0.645","0.325",0
"0.65","0.325",0
"0.655","0.325",0
"0.66","0.325",0
"0.665","0.325",0
"0.67","0.325",0
"0.675","0.325",0
"0.68","0.325",0
"0.685","0.325",0
"0.69","0.325",0
"0.695","0.325",0
"0.7","0.325",0
"0.705","0.325",0
"0.71","0.325",0
"0.715","0.325",0
"0.725","0.325",0
"0.285","0.33",0
"0.315","0.33",0
"0.32","0.33",0
"0.325","0.33",0
"0.33","0.33",0
"0.335","0.33",0
"0.34","0.33",0
"0.345","0.33",0
"0.35","0.33",0
"0.355","0.33",0
"0.36","0.33",0
"0.365","0.33",0
"0.37","0.33",0
"0.375","0.33",0
"0.38","0.33",0
"0.385","0.33",0
"0.39","0.33",0
"0.395","0.33",0
"0.4","0.33",0
"0.405","0.33",0
"0.41","0.33",0
"0.415","0.33",0
"0.42","0.33",0
"0.425","0.33",0
"0.43","0.33",0
"0.435","0.33",0
"0.44","0.33",0
"0.445","0.33",0
"0.45","0.33",0
"0.455","0.33",0
"0.46","0.33",0
"0.465","0.33",0
"0.47","0.33",0
"0.475","0.33",0
"0.48","0.33",0
"0.485","0.33",0
"0.49","0.33",0
"0.495","0.33",0
"0.5","0.33",0
"0.505","0.33",0
"0.51","0.33",0
"0.515","0.33",0
"0.52","0.33",0
"0.525","0.33",0
"0.53","0.33",0
"0.535","0.33",0
"0.54","0.33",0
"0.545","0.33",0
"0.55","0.33",0
"0.555","0.33",0
"0.56","0.33",0
"0.565","0.33",0
"0.57","0.33",0
"0.575","0.33",0
"0.58","0.33",0
"0.585","0.33",0
"0.59","0.33",0
"0.595","0.33",0
"0.6","0.33",0
"0.605","0.33",0
"0.61","0.33",0
"0.615","0.33",0
"0.62","0.33",0
"0.625","0.33",0
"0.63","0.33",0
"0.635","0.33",0
"0.64","0.33",0
"0.645","0.33",0
"0.65","0.33",0
"0.655","0.33",0
"0.66","0.33",0
"0.665","0.33",0
"0.67","0.33",0
"0.675","0.33",0
"0.68","0.33",0
"0.685","0.33",0
"0.69","0.33",0
"0.695","0.33",0
"0.7","0.33",0
"0.705","0.33",0
"0.71","0.33",0
"0.715","0.33",0
"0.725","0.33",0
"0.285","0.335",0
"0.315","0.335",0
"0.32","0.335",0
"0.325","0.335",0
"0.33","0.335",0
"0.335","0.335",0
"0.34","0.335",0
"0.345","0.335",0
"0.35","0.335",0
"0.355","0.335",0
"0.36","0.335",0
"0.365","0.335",0
"0.37","0.335",0
"0.375","0.335",0
"0.38","0.335",0
"0.385","0.335",0
"0.39","0.335",0
"0.395","0.335",0
"0.4","0.335",0
"0.405","0.335",0
"0.41","0.335",0
"0.415","0.335",0
"0.42","0.335",0
"0.425","0.335",0
"0.43","0.335",0
"0.435","0.335",0
"0.44","0.335",0
"0.445","0.335",0
"0.45","0.335",0
"0.455","0.335",0
"0.46","0.335",0
"0.465","0.335",0
"0.47","0.335",0
"0.475","0.335",0
"0.48","0.335",0
"0.485","0.335",0
"0.49","0.335",0
"0.495","0.335",0
"0.5","0.335",0
"0.505","0.335",0
"0.51","0.335",0
"0.515","0.335",0
"0.52","0.335",0
"0.525","0.335",0
"0.53","0.335",0
"0.535","0.335",0
"0.54","0.335",0
"0.545","0.335",0
"0.55","0.335",0
"0.555","0.335",0
"0.56","0.335",0
"0.565","0.335",0
"0.57","0.335",0
"0.575","0.335",0
"0.58","0.335",0
"0.585","0.335",0
"0.59","0.335",0
"0.595","0.335",0
"0.6","0.335",0
"0.605","0.335",0
"0.61","0.335",0
"0.615","0.335",0
"0.62","0.335",0
"0.625","0.335",0
"0.63","0.335",0
"0.635","0.335",0
"0.64","0.335",0
"0.645","0.335",0
"0.65","0.335",0
"0.655","0.335",0
"0.66","0.335",0
"0.665","0.335",0
"0.67","0.335",0
"0.675","0.335",0
"0.68","0.335",0
"0.685","0.335",0
"0.69","0.335",0
"0.695","0.335",0
"0.7","0.335",0
"0.705","0.335",0
"0.71","0.335",0
"0.715","0.335",0
"0.725","0.335",0
"0.285","0.34",0
"0.315","0.34",0
"0.32","0.34",0
"0.325","0.34",0
"0.33","0.34",0
"0.335","0.34",0
"0.34","0.34",0
"0.345","0.34",0
"0.35","0.34",0
"0.355","0.34",0
"0.36","0.34",0
"0.365","0.34",0
"0.37","0.34",0
"0.375","0.34",0
"0.38","0.34",0
"0.385","0.34",0
"0.39","0.34",0
"0.395","0.34",0
"0.4","0.34",0
"0.405","0.34",0
"0.41","0.34",0
"0.415","0.34",1
"0.42","0.34",0
"0.425","0.34",0
"0.43","0.34",0
"0.435","0.34",0
"0.44","0.34",1
"0.445","0.34",0
"0.45","0.34",0
"0.455","0.34",0
"0.46","0.34",0
"0.465","0.34",0
"0.47","0.34",0
"0.475","0.34",0
"0.48","0.34",0
"0.485","0.34",0
"0.49","0.34",0
"0.495","0.34",0
"0.5","0.34",0
"0.505","0.34",0
"0.51","0.34",0
"0.515","0.34",0
"0.52","0.34",0
"0.525","0.34",0
"0.53","0.34",0
"0.535","0.34",0
"0.54","0.34",0
"0.545","0.34",0
"0.55","0.34",0
"0.555","0.34",0
"0.56","0.34",0
"0.565","0.34",0
"0.57","0.34",0
"0.575","0.34",0
"0.58","0.34",0
"0.585","0.34",0
"0.59","0.34",0
"0.595","0.34",0
"0.6","0.34",0
"0.605","0.34",0
"0.61","0.34",0
"0.615","0.34",0
"0.62","0.34",0
"0.625","0.34",0
"0.63","0.34",0
"0.635","0.34",0
"0.64","0.34",0
"0.645","0.34",0
"0.65","0.34",0
"0.655","0.34",0
"0.66","0.34",0
"0.665","0.34",0
"0.67","0.34",0
"0.675","0.34",0
"0.68","0.34",0
"0.685","0.34",0
"0.69","0.34",0
"0.695","0.34",0
"0.7","0.34",0
"0.705","0.34",0
"0.71","0.34",0
"0.715","0.34",0
"0.725","0.34",0
"0.285","0.345",0
"0.315","0.345",0
"0.32","0.345",0
"0.325","0.345",0
"0.33","0.345",0
"0.335","0.345",0
"0.34","0.345",0
"0.345","0.345",0
"0.35","0.345",0
"0.355","0.345",0
"0.36","0.345",0
"0.365","0.345",0
"0.37","0.345",0
"0.375","0.345",0
"0.38","0.345",0
"0.385","0.345",0
"0.39","0.345",0
"0.395","0.345",0
"0.4","0.345",0
"0.405","0.345",0
"0.41","0.345",0
"0.415","0.345",0
"0.42","0.345",0
"0.425","0.345",1
"0.43","0.345",1
"0.435","0.345",0
"0.44","0.345",0
"0.445","0.345",0
"0.45","0.345",0
"0.455","0.345",0
"0.46","0.345",0
"0.465","0.345",1
"0.47","0.345",0
"0.475","0.345",0
"0.48","0.345",0
"0.485","0.345",0
"0.49","0.345",0
"0.495","0.345",0
"0.5","0.345",0
"0.505","0.345",0
"0.51","0.345",0
"0.515","0.345",0
"0.52","0.345",0
"0.525","0.345",0
"0.53","0.345",0
"0.535","0.345",0
"0.54","0.345",0
"0.545","0.345",0
"0.55","0.345",0
"0.555","0.345",0
"0.56","0.345",0
"0.565","0.345",0
"0.57","0.345",0
"0.575","0.345",0
"0.58","0.345",0
"0.585","0.345",0
"0.59","0.345",0
"0.595","0.345",0
"0.6","0.345",0
"0.605","0.345",0
"0.61","0.345",0
"0.615","0.345",0
"0.62","0.345",0
"0.625","0.345",0
"0.63","0.345",0
"0.635","0.345",0
"0.64","0.345",0
"0.645","0.345",0
"0.65","0.345",0
"0.655","0.345",0
"0.66","0.345",0
"0.665","0.345",0
"0.67","0.345",0
"0.675","0.345",0
"0.68","0.345",0
"0.685","0.345",0
"0.69","0.345",0
"0.695","0.345",0
"0.7","0.345",0
"0.705","0.345",0
"0.71","0.345",0
"0.715","0.345",0
"0.725","0.345",0
"0.285","0.35",0
"0.315","0.35",0
"0.32","0.35",0
"0.325","0.35",0
"0.33","0.35",0
"0.335","0.35",0
"0.34","0.35",0
"0.345","0.35",0
"0.35","0.35",0
"0.355","0.35",0
"0.36","0.35",0
"0.365","0.35",0
"0.37","0.35",0
"0.375","0.35",0
"0.38","0.35",0
"0.385","0.35",1
"0.39","0.35",0
"0.395","0.35",0
"0.4","0.35",0
"0.405","0.35",0
"0.41","0.35",1
"0.415","0.35",0
"0.42","0.35",0
"0.425","0.35",1
"0.43","0.35",1
"0.435","0.35",1
"0.44","0.35",1
"0.445","0.35",0
"0.45","0.35",0
"0.455","0.35",0
"0.46","0.35",0
"0.465","0.35",0
"0.47","0.35",0
"0.475","0.35",0
"0.48","0.35",0
"0.485","0.35",0
"0.49","0.35",0
"0.495","0.35",0
"0.5","0.35",0
"0.505","0.35",0
"0.51","0.35",0
"0.515","0.35",0
"0.52","0.35",0
"0.525","0.35",0
"0.53","0.35",0
"0.535","0.35",0
"0.54","0.35",0
"0.545","0.35",0
"0.55","0.35",0
"0.555","0.35",0
"0.56","0.35",0
"0.565","0.35",0
"0.57","0.35",0
"0.575","0.35",0
"0.58","0.35",0
"0.585","0.35",0
"0.59","0.35",0
"0.595","0.35",0
"0.6","0.35",0
"0.605","0.35",0
"0.61","0.35",0
"0.615","0.35",0
"0.62","0.35",0
"0.625","0.35",0
"0.63","0.35",0
"0.635","0.35",0
"0.64","0.35",0
"0.645","0.35",0
"0.65","0.35",0
"0.655","0.35",0
"0.66","0.35",0
"0.665","0.35",0
"0.67","0.35",0
"0.675","0.35",0
"0.68","0.35",0
"0.685","0.35",0
"0.69","0.35",0
"0.695","0.35",0
"0.7","0.35",0
"0.705","0.35",0
"0.71","0.35",0
"0.715","0.35",0
"0.725","0.35",0
"0.285","0.355",0
"0.315","0.355",0
"0.32","0.355",0
"0.325","0.355",0
"0.33","0.355",0
"0.335","0.355",0
"0.34","0.355",0
"0.345","0.355",0
"0.35","0.355",0
"0.355","0.355",0
"0.36","0.355",0
"0.365","0.355",0
"0.37","0.355",0
"0.375","0.355",0
"0.38","0.355",0
"0.385","0.355",0
"0.39","0.355",0
"0.395","0.355",0
"0.4","0.355",0
"0.405","0.355",0
"0.41","0.355",0
"0.415","0.355",2
"0.42","0.355",0
"0.425","0.355",0
"0.43","0.355",1
"0.435","0.355",0
"0.44","0.355",0
"0.445","0.355",0
"0.45","0.355",2
"0.455","0.355",0
"0.46","0.355",0
"0.465","0.355",0
"0.47","0.355",0
"0.475","0.355",0
"0.48","0.355",0
"0.485","0.355",0
"0.49","0.355",0
"0.495","0.355",0
"0.5","0.355",0
"0.505","0.355",0
"0.51","0.355",0
"0.515","0.355",0
"0.52","0.355",0
"0.525","0.355",0
"0.53","0.355",0
"0.535","0.355",0
"0.54","0.355",0
"0.545","0.355",0
"0.55","0.355",0
"0.555","0.355",0
"0.56","0.355",0
"0.565","0.355",0
"0.57","0.355",0
"0.575","0.355",0
"0.58","0.355",0
"0.585","0.355",0
"0.59","0.355",0
"0.595","0.355",0
"0.6","0.355",0
"0.605","0.355",0
"0.61","0.355",0
"0.615","0.355",0
"0.62","0.355",0
"0.625","0.355",0
"0.63","0.355",0
"0.635","0.355",0
"0.64","0.355",0
"0.645","0.355",0
"0.65","0.355",0
"0.655","0.355",0
"0.66","0.355",0
"0.665","0.355",0
"0.67","0.355",0
"0.675","0.355",0
"0.68","0.355",0
"0.685","0.355",0
"0.69","0.355",0
"0.695","0.355",0
"0.7","0.355",0
"0.705","0.355",0
"0.71","0.355",0
"0.715","0.355",0
"0.725","0.355",0
"0.285","0.36",0
"0.315","0.36",0
"0.32","0.36",0
"0.325","0.36",0
"0.33","0.36",0
"0.335","0.36",0
"0.34","0.36",0
"0.345","0.36",0
"0.35","0.36",0
"0.355","0.36",0
"0.36","0.36",0
"0.365","0.36",0
"0.37","0.36",0
"0.375","0.36",0
"0.38","0.36",0
"0.385","0.36",0
"0.39","0.36",0
"0.395","0.36",0
"0.4","0.36",1
"0.405","0.36",0
"0.41","0.36",0
"0.415","0.36",1
"0.42","0.36",1
"0.425","0.36",1
"0.43","0.36",0
"0.435","0.36",2
"0.44","0.36",0
"0.445","0.36",0
"0.45","0.36",0
"0.455","0.36",1
"0.46","0.36",1
"0.465","0.36",0
"0.47","0.36",0
"0.475","0.36",0
"0.48","0.36",0
"0.485","0.36",0
"0.49","0.36",0
"0.495","0.36",0
"0.5","0.36",0
"0.505","0.36",0
"0.51","0.36",0
"0.515","0.36",0
"0.52","0.36",0
"0.525","0.36",0
"0.53","0.36",0
"0.535","0.36",0
"0.54","0.36",0
"0.545","0.36",0
"0.55","0.36",0
"0.555","0.36",0
"0.56","0.36",0
"0.565","0.36",0
"0.57","0.36",0
"0.575","0.36",0
"0.58","0.36",0
"0.585","0.36",0
"0.59","0.36",0
"0.595","0.36",0
"0.6","0.36",0
"0.605","0.36",0
"0.61","0.36",0
"0.615","0.36",0
"0.62","0.36",0
"0.625","0.36",0
"0.63","0.36",0
"0.635","0.36",0
"0.64","0.36",0
"0.645","0.36",0
"0.65","0.36",0
"0.655","0.36",0
"0.66","0.36",0
"0.665","0.36",0
"0.67","0.36",0
"0.675","0.36",0
"0.68","0.36",0
"0.685","0.36",0
"0.69","0.36",0
"0.695","0.36",0
"0.7","0.36",0
"0.705","0.36",0
"0.71","0.36",0
"0.715","0.36",0
"0.725","0.36",0
"0.285","0.365",0
"0.315","0.365",0
"0.32","0.365",0
"0.325","0.365",0
"0.33","0.365",0
"0.335","0.365",0
"0.34","0.365",0
"0.345","0.365",0
"0.35","0.365",0
"0.355","0.365",0
"0.36","0.365",0
"0.365","0.365",0
"0.37","0.365",0
"0.375","0.365",0
"0.38","0.365",0
"0.385","0.365",0
"0.39","0.365",1
"0.395","0.365",0
"0.4","0.365",1
"0.405","0.365",1
"0.41","0.365",0
"0.415","0.365",1
"0.42","0.365",1
"0.425","0.365",2
"0.43","0.365",1
"0.435","0.365",0
"0.44","0.365",2
"0.445","0.365",0
"0.45","0.365",0
"0.455","0.365",1
"0.46","0.365",1
"0.465","0.365",1
"0.47","0.365",0
"0.475","0.365",0
"0.48","0.365",0
"0.485","0.365",0
"0.49","0.365",0
"0.495","0.365",0
"0.5","0.365",0
"0.505","0.365",0
"0.51","0.365",0
"0.515","0.365",0
"0.52","0.365",0
"0.525","0.365",0
"0.53","0.365",0
"0.535","0.365",0
"0.54","0.365",0
"0.545","0.365",0
"0.55","0.365",0
"0.555","0.365",0
"0.56","0.365",0
"0.565","0.365",0
"0.57","0.365",0
"0.575","0.365",0
"0.58","0.365",0
"0.585","0.365",0
"0.59","0.365",0
"0.595","0.365",0
"0.6","0.365",0
"0.605","0.365",0
"0.61","0.365",0
"0.615","0.365",0
"0.62","0.365",0
"0.625","0.365",0
"0.63","0.365",0
"0.635","0.365",0
"0.64","0.365",0
"0.645","0.365",0
"0.65","0.365",0
"0.655","0.365",0
"0.66","0.365",0
"0.665","0.365",0
"0.67","0.365",0
"0.675","0.365",0
"0.68","0.365",0
"0.685","0.365",0
"0.69","0.365",0
"0.695","0.365",0
"0.7","0.365",0
"0.705","0.365",0
"0.71","0.365",0
"0.715","0.365",0
"0.725","0.365",0
"0.285","0.37",0
"0.315","0.37",0
"0.32","0.37",0
"0.325","0.37",0
"0.33","0.37",0
"0.335","0.37",0
"0.34","0.37",0
"0.345","0.37",0
"0.35","0.37",0
"0.355","0.37",0
"0.36","0.37",0
"0.365","0.37",0
"0.37","0.37",0
"0.375","0.37",0
"0.38","0.37",0
"0.385","0.37",0
"0.39","0.37",0
"0.395","0.37",0
"0.4","0.37",0
"0.405","0.37",0
"0.41","0.37",0
"0.415","0.37",0
"0.42","0.37",2
"0.425","0.37",1
"0.43","0.37",2
"0.435","0.37",4
"0.44","0.37",3
"0.445","0.37",1
"0.45","0.37",2
"0.455","0.37",6
"0.46","0.37",0
"0.465","0.37",0
"0.47","0.37",0
"0.475","0.37",0
"0.48","0.37",0
"0.485","0.37",0
"0.49","0.37",0
"0.495","0.37",0
"0.5","0.37",0
"0.505","0.37",0
"0.51","0.37",0
"0.515","0.37",0
"0.52","0.37",0
"0.525","0.37",0
"0.53","0.37",0
"0.535","0.37",0
"0.54","0.37",0
"0.545","0.37",0
"0.55","0.37",0
"0.555","0.37",0
"0.56","0.37",0
"0.565","0.37",0
"0.57","0.37",0
"0.575","0.37",0
"0.58","0.37",0
"0.585","0.37",0
"0.59","0.37",0
"0.595","0.37",0
"0.6","0.37",0
"0.605","0.37",0
"0.61","0.37",0
"0.615","0.37",0
"0.62","0.37",0
"0.625","0.37",0
"0.63","0.37",0
"0.635","0.37",0
"0.64","0.37",0
"0.645","0.37",0
"0.65","0.37",0
"0.655","0.37",0
"0.66","0.37",0
"0.665","0.37",0
"0.67","0.37",0
"0.675","0.37",0
"0.68","0.37",0
"0.685","0.37",0
"0.69","0.37",0
"0.695","0.37",0
"0.7","0.37",0
"0.705","0.37",0
"0.71","0.37",0
"0.715","0.37",0
"0.725","0.37",0
"0.285","0.375",0
"0.315","0.375",0
"0.32","0.375",0
"0.325","0.375",0
"0.33","0.375",0
"0.335","0.375",0
"0.34","0.375",0
"0.345","0.375",0
"0.35","0.375",0
"0.355","0.375",0
"0.36","0.375",0
"0.365","0.375",0
"0.37","0.375",0
"0.375","0.375",0
"0.38","0.375",0
"0.385","0.375",0
"0.39","0.375",0
"0.395","0.375",0
"0.4","0.375",1
"0.405","0.375",1
"0.41","0.375",1
"0.415","0.375",1
"0.42","0.375",3
"0.425","0.375",2
"0.43","0.375",1
"0.435","0.375",3
"0.44","0.375",0
"0.445","0.375",3
"0.45","0.375",5
"0.455","0.375",1
"0.46","0.375",2
"0.465","0.375",0
"0.47","0.375",0
"0.475","0.375",0
"0.48","0.375",0
"0.485","0.375",0
"0.49","0.375",0
"0.495","0.375",0
"0.5","0.375",0
"0.505","0.375",0
"0.51","0.375",0
"0.515","0.375",0
"0.52","0.375",0
"0.525","0.375",0
"0.53","0.375",0
"0.535","0.375",0
"0.54","0.375",0
"0.545","0.375",0
"0.55","0.375",0
"0.555","0.375",0
"0.56","0.375",0
"0.565","0.375",0
"0.57","0.375",0
"0.575","0.375",0
"0.58","0.375",0
"0.585","0.375",0
"0.59","0.375",0
"0.595","0.375",0
"0.6","0.375",0
"0.605","0.375",0
"0.61","0.375",0
"0.615","0.375",0
"0.62","0.375",0
"0.625","0.375",0
"0.63","0.375",0
"0.635","0.375",0
"0.64","0.375",0
"0.645","0.375",0
"0.65","0.375",0
"0.655","0.375",0
"0.66","0.375",0
"0.665","0.375",0
"0.67","0.375",0
"0.675","0.375",0
"0.68","0.375",0
"0.685","0.375",0
"0.69","0.375",0
"0.695","0.375",0
"0.7","0.375",0
"0.705","0.375",0
"0.71","0.375",0
"0.715","0.375",0
"0.725","0.375",0
"0.285","0.38",0
"0.315","0.38",0
"0.32","0.38",0
"0.325","0.38",0
"0.33","0.38",0
"0.335","0.38",0
"0.34","0.38",0
"0.345","0.38",0
"0.35","0.38",0
"0.355","0.38",0
"0.36","0.38",0
"0.365","0.38",0
"0.37","0.38",0
"0.375","0.38",0
"0.38","0.38",0
"0.385","0.38",0
"0.39","0.38",0
"0.395","0.38",0
"0.4","0.38",0
"0.405","0.38",1
"0.41","0.38",2
"0.415","0.38",0
"0.42","0.38",0
"0.425","0.38",3
"0.43","0.38",5
"0.435","0.38",2
"0.44","0.38",4
"0.445","0.38",1
"0.45","0.38",4
"0.455","0.38",2
"0.46","0.38",0
"0.465","0.38",1
"0.47","0.38",1
"0.475","0.38",0
"0.48","0.38",1
"0.485","0.38",0
"0.49","0.38",0
"0.495","0.38",0
"0.5","0.38",0
"0.505","0.38",0
"0.51","0.38",0
"0.515","0.38",0
"0.52","0.38",0
"0.525","0.38",0
"0.53","0.38",0
"0.535","0.38",0
"0.54","0.38",0
"0.545","0.38",0
"0.55","0.38",0
"0.555","0.38",0
"0.56","0.38",0
"0.565","0.38",0
"0.57","0.38",0
"0.575","0.38",0
"0.58","0.38",0
"0.585","0.38",0
"0.59","0.38",0
"0.595","0.38",0
"0.6","0.38",0
"0.605","0.38",0
"0.61","0.38",0
"0.615","0.38",0
"0.62","0.38",0
"0.625","0.38",0
"0.63","0.38",0
"0.635","0.38",0
"0.64","0.38",0
"0.645","0.38",0
"0.65","0.38",0
"0.655","0.38",0
"0.66","0.38",0
"0.665","0.38",0
"0.67","0.38",0
"0.675","0.38",0
"0.68","0.38",0
"0.685","0.38",0
"0.69","0.38",0
"0.695","0.38",0
"0.7","0.38",0
"0.705","0.38",0
"0.71","0.38",0
"0.715","0.38",0
"0.725","0.38",0
"0.285","0.385",0
"0.315","0.385",0
"0.32","0.385",0
"0.325","0.385",0
"0.33","0.385",0
"0.335","0.385",0
"0.34","0.385",0
"0.345","0.385",0
"0.35","0.385",0
"0.355","0.385",0
"0.36","0.385",0
"0.365","0.385",0
"0.37","0.385",0
"0.375","0.385",0
"0.38","0.385",0
"0.385","0.385",0
"0.39","0.385",0
"0.395","0.385",1
"0.4","0.385",1
"0.405","0.385",0
"0.41","0.385",0
"0.415","0.385",0
"0.42","0.385",1
"0.425","0.385",4
"0.43","0.385",2
